# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	63164
#@/user_id	4232a789-02e2-4ed5-b0bb-ca190859e4b9
a 	啊	c=208 d=0.826959 t=63164
na ben shu 	那本書	c=1 d=3.69649e-28 t=63164
na bian 	那邊	c=11 d=7.33704e-05 t=63164
na bu 	那不	c=0 d=1.04999e-16 t=63164
na bu qi 	那不氣	c=1 d=1.05525e-15 t=63164
na chu 	拿出	c=1 d=1.49305e-39 t=63164
na ci 	那次	c=4 d=2.76479e-07 t=63164
na dao 	拿到	c=5 d=0.0236356 t=63164
na dao ye shi 	拿到也是	c=1 d=1.42585e-56 t=63164
na de 	拿得	c=0 d=9.45006e-13 t=63164
na de chu shou 	拿得出手	c=1 d=9.49743e-12 t=63164
na duan shi jian 	那段時間	c=1 d=5.02003e-11 t=63164
na er 	哪兒	c=1 d=2.97874e-47 t=63164
na er 	那兒	c=2 d=1.44473e-05 t=63164
na fen 	拿分	c=1 d=1.46498e-51 t=63164
na ge 	哪個	c=21 d=0.00201938 t=63164
na ge 	那個	c=96 d=0.557106 t=63164
na ge ci 	哪個詞	c=1 d=3.6813e-09 t=63164
na ge e 	那個額	c=1 d=5.03474e-16 t=63164
na ge ren 	那個人	c=1 d=1.36812e-11 t=63164
na ge shi 	那個事	c=1 d=1.42148e-20 t=63164
na ge shu 	那個書	c=1 d=6.2445e-20 t=63164
na gen 	那跟	c=1 d=1.67074e-09 t=63164
na hai 	哪還	c=1 d=2.61428e-41 t=63164
na hai shi 	那還是	c=3 d=5.99353e-08 t=63164
na hui 	哪會	c=1 d=6.38062e-09 t=63164
na hui 	拿回	c=1 d=1.55933e-50 t=63164
na hui 	那回	c=1 d=3.4555e-29 t=63164
na ji ge 	哪幾個	c=1 d=4.45843e-27 t=63164
na ji ge 	那幾個	c=1 d=1.34057e-07 t=63164
na ji tian 	那幾天	c=1 d=4.67095e-16 t=63164
na jia 	那家	c=1 d=3.90071e-43 t=63164
na jiao 	那叫	c=1 d=5.50964e-47 t=63164
na jiu 	那就	c=23 d=0.00442715 t=63164
na jiu du 	那就讀	c=1 d=2.91271e-48 t=63164
na jiu hao 	那就好	c=1 d=1.51041e-28 t=63164
na jiu shi 	那就是	c=18 d=0.169483 t=63164
na ju hua 	那句話	c=1 d=5.45128e-10 t=63164
na kan 	哪看	c=1 d=7.40014e-47 t=63164
na lai 	拿來	c=1 d=4.56168e-61 t=63164
na lei 	那類	c=1 d=1.43944e-50 t=63164
na li 	哪裏	c=47 d=0.111917 t=63164
na li 	那裏	c=17 d=0.000274654 t=63164
na li bu hui 	哪裏不會	c=1 d=6.26813e-35 t=63164
na li bu hui dian na li 	哪裏不會點哪裏	c=1 d=1.044e-36 t=63164
na me 	那麼	c=148 d=1.37292 t=63164
na me duo 	那麼多	c=1 d=6.21653e-26 t=63164
na me hao 	那麼好	c=1 d=1 t=61340
na me hui shi 	那麼回事	c=1 d=6.99936e-39 t=63164
na me jiu 	那麼就	c=1 d=3.72388e-56 t=63164
na ni 	那你	c=4 d=4.3522e-08 t=63164
na pa 	哪怕	c=1 d=2.06677e-41 t=63164
na qu 	拿去	c=1 d=1.08735e-44 t=63164
na shi 	那是	c=7 d=3.21532e-06 t=63164
na shi 	那時	c=1 d=1.04617e-31 t=63164
na shi hou 	那時候	c=4 d=0.000675539 t=63164
na tian 	哪天	c=5 d=0.468847 t=63164
na tian 	那天	c=10 d=7.50584e-08 t=63164
na xiang 	那項	c=1 d=1 t=56890
na xie 	哪些	c=21 d=0.634448 t=63164
na xie 	那些	c=19 d=0.00351109 t=63164
na yang 	那樣	c=10 d=0.00104217 t=63164
na ye 	那也	c=1 d=0.010889 t=63164
na ye hui si 	那也會死	c=1 d=2.69069e-27 t=63164
na ye shi 	那也是	c=4 d=4.5972e-27 t=63164
na yi 	哪一	c=0 d=5.43056e-25 t=63164
na yi 	那一	c=1 d=1 t=62072
na yi dai 	那一代	c=1 d=7.15582e-05 t=63164
na yi dian 	哪一點	c=1 d=5.45778e-24 t=63164
na yi hang 	那一行	c=1 d=1 t=54637
na yi si 	那意思	c=1 d=2.06713e-43 t=63164
na you 	哪有	c=4 d=1.30184e-15 t=63164
na you qian 	哪有錢	c=1 d=1.70264e-55 t=63164
na zai 	哪在	c=1 d=4.02443e-28 t=63164
na zhen 	那陣	c=1 d=5.56123e-39 t=63164
na zhong 	那種	c=25 d=0.0156858 t=63164
nai 	乃	c=1 d=1.79585e-35 t=63164
nai fan 	耐煩	c=1 d=1.4444e-61 t=63164
nai he 	奈何	c=1 d=1.03347e-05 t=63164
nai nai 	奶奶	c=1 d=7.48518e-05 t=63164
nai xin 	耐心	c=3 d=1.3587e-18 t=63164
nai yong 	耐用	c=2 d=2.52917e-34 t=63164
nai zi 	奶子	c=2 d=1.6544e-11 t=63164
nan 	南	c=2 d=1.41415e-18 t=63164
nan 	喃	c=6 d=8.17173e-06 t=63164
nan 	男	c=17 d=0.22313 t=63164
nan 	難	c=11 d=0.00559994 t=63164
nan bu cheng 	難不成	c=1 d=7.7513e-63 t=63164
nan bu nan 	難不難	c=1 d=2.56434e-20 t=63164
nan dao 	難道	c=5 d=6.83025e-16 t=63164
nan de 	男的	c=2 d=9.52495e-46 t=63164
nan de 	難得	c=2 d=1.72637e-12 t=63164
nan du 	難度	c=8 d=4.49863e-06 t=63164
nan fang 	南方	c=2 d=1.32264e-25 t=63164
nan fang ke ji da xue 	南方科技大學	c=1 d=1.4073e-49 t=63164
nan gao 	難搞	c=5 d=1.45321e-15 t=63164
nan guang lu 	南光路	c=1 d=1.60245e-18 t=63164
nan hang 	南航	c=1 d=5.64125e-60 t=63164
nan ji 	南極	c=1 d=0.00432828 t=63164
nan ji de 	難記得	c=1 d=2.50052e-47 t=63164
nan ji dian shang 	南極電商	c=11 d=0.0434998 t=63164
nan kan 	難看	c=1 d=0.0718924 t=63164
nan lu 	南路	c=2 d=1.88984e-39 t=63164
nan men 	南門	c=1 d=3.27392e-41 t=63164
nan men 	喃們	c=13 d=9.44684e-08 t=63164
nan mian 	難免	c=1 d=3.16186e-43 t=63164
nan nai 	難耐	c=0 d=3.16186e-44 t=63164
nan nan nv nv 	男男女女	c=0 d=1.70948e-15 t=63164
nan nan nv nv nan nan nv nv nan nan nv nv nan nan nv nv 	男男女女男男女女男男女女男男女女	c=1 d=1.71805e-14 t=63164
nan nv 	男女	c=1 d=8.85685e-14 t=63164
nan peng you 	男朋友	c=2 d=4.98093e-29 t=63164
nan ren 	男人	c=10 d=4.04894e-09 t=63164
nan shan 	南山	c=10 d=0.000165708 t=63164
nan shan qu 	南山區	c=3 d=5.92866e-27 t=63164
nan shan zhi yuan 	南山智園	c=1 d=2.22358e-19 t=63164
nan shen 	男神	c=1 d=5.16659e-26 t=63164
nan shou 	難受	c=1 d=0.00606634 t=63164
nan shuo 	難說	c=1 d=1.0156e-35 t=63164
nan tao 	難逃	c=1 d=1.16905e-14 t=63164
nan ting 	難聽	c=1 d=0.00603608 t=63164
nan xing 	男性	c=2 d=2.06045e-05 t=63164
nan yang 	南陽	c=1 d=5.17519e-16 t=63164
nan yi 	難以	c=3 d=2.85969e-30 t=63164
nan yi fa xian 	難以發現	c=1 d=2.89473e-34 t=63164
nan you 	男友	c=1 d=1.12436e-26 t=63164
nan yue 	難約	c=1 d=1.95185e-15 t=63164
nan zai 	男仔	c=8 d=3.53684e-38 t=63164
nan zhan 	南站	c=0 d=4.23522e-12 t=63164
nan zhao 	難找	c=1 d=2.60806e-13 t=63164
nan zhu 	男主	c=1 d=3.94877e-40 t=63164
nan zuo 	難做	c=2 d=3.19428e-16 t=63164
nao 	腦	c=2 d=3.48063e-26 t=63164
nao bu 	腦補	c=1 d=4.44692e-26 t=63164
nao can 	腦殘	c=0 d=2.25833e-26 t=63164
nao can fen 	腦殘粉	c=1 d=2.26965e-25 t=63164
nao dai 	腦袋	c=3 d=3.21302e-26 t=63164
nao huo 	惱火	c=2 d=1.07834e-09 t=63164
nao ke 	腦殼	c=4 d=6.61807e-07 t=63164
nao li 	腦力	c=1 d=1.29733e-33 t=63164
nao li lao dong 	腦力勞動	c=1 d=1.11681e-35 t=63164
ne 	呢	c=40 d=0.97531 t=63164
nei 	內	c=25 d=0.395978 t=63164
nei bu 	內部	c=5 d=8.08689e-11 t=63164
nei ce 	內測	c=12 d=0.000111666 t=63164
nei cun 	內存	c=11 d=0.000307744 t=63164
nei di 	內地	c=3 d=0.000189371 t=63164
nei han 	內涵	c=1 d=5.21124e-39 t=63164
nei han shu 	內函數	c=1 d=1.48307e-19 t=63164
nei he 	內核	c=2 d=1.84789 t=59230
nei ku 	內褲	c=1 d=6.99698e-35 t=63164
nei lu 	內錄	c=2 d=2.85354e-26 t=63164
nei qian 	內嵌	c=3 d=8.23707e-05 t=63164
nei rong 	內容	c=95 d=0.26982 t=63164
nei xiang 	內向	c=1 d=5.74151e-32 t=63164
nei xin 	內心	c=1 d=0.000238784 t=63164
nei zhi 	內置	c=5 d=3.72792e-10 t=63164
nen 	嫩	c=3 d=3.5007e-15 t=63164
nen nen 	嫩嫩	c=0 d=4.86488e-25 t=63164
nen nen ge 	嫩嫩個	c=1 d=4.88927e-24 t=63164
neng 	能	c=122 d=1.1314 t=63164
neng bu 	能不	c=0 d=1.29826e-13 t=63164
neng bu eng ni 	能不嗯你	c=1 d=1.30476e-12 t=63164
neng bu neng 	能不能	c=4 d=8.6323e-06 t=63164
neng fou 	能否	c=6 d=1.2109e-16 t=63164
neng gou 	能夠	c=8 d=5.06789e-05 t=63164
neng li 	能力	c=14 d=0.0972957 t=63164
neng li de 	能力的	c=1 d=3.90881e-38 t=63164
neng li qiang 	能力強	c=1 d=1.33457e-13 t=63164
neng nai 	能耐	c=0 d=1.59858e-20 t=63164
neng neng bu neng 	能能不能	c=1 d=2.20896e-59 t=63164
neng rang 	能讓	c=1 d=1.81137e-48 t=63164
neng shuo hui dao 	能說會道	c=1 d=2.2712e-33 t=63164
neng yong 	能用	c=1 d=1.08196e-15 t=63164
neng yuan 	能源	c=2 d=0.020141 t=63164
neng zuo 	能做	c=1 d=7.25755e-24 t=63164
ni 	你	c=1062 d=4.79074 t=63164
ni 	尼	c=0 d=1.01557e-65 t=63164
ni 	逆	c=2 d=1.11024e-40 t=63164
ni ai 	你愛	c=0 d=6.75654e-07 t=63164
ni ai he 	你愛和	c=1 d=6.7904e-06 t=63164
ni ba 	你爸	c=2 d=3.57781e-09 t=63164
ni bu shi 	你不是	c=2 d=5.56235e-12 t=63164
ni cheng 	昵稱	c=6 d=3.70857e-14 t=63164
ni da 	妮妲	c=2 d=5.38219e-07 t=63164
ni dong 	你懂	c=4 d=0.0317456 t=63164
ni gou 	泥垢	c=1 d=2.97579e-06 t=63164
ni hai shi 	你還是	c=2 d=1.03883e-07 t=63164
ni hao 	你好	c=40 d=3.55698 t=63164
ni hao you 	你好有	c=1 d=1 t=63053
ni jie 	你姐	c=1 d=1.29645e-25 t=63164
ni jiu 	你就	c=0 d=0.1 t=56031
ni jiu zhi dao 	你就知道	c=1 d=1 t=56032
ni kan kan 	你看看	c=1 d=4.83568e-12 t=63164
ni ke yi 	你可以	c=3 d=0.000243596 t=63164
ni lai 	你來	c=0 d=5.12057e-10 t=63164
ni lai yi tang 	你來一趟	c=1 d=5.14624e-09 t=63164
ni mei 	你妹	c=3 d=0.000553084 t=63164
ni men 	你們	c=35 d=0.861399 t=63164
ni men de 	你們的	c=1 d=1.14034e-45 t=63164
ni ming 	匿名	c=2 d=9.23588e-07 t=63164
ni ming han shu 	匿名函數	c=1 d=5.95635e-23 t=63164
ni ming yong hu 	匿名用戶	c=1 d=1.30521e-16 t=63164
ni ming zhe 	匿名者	c=1 d=1 t=57495
ni na 	你那	c=2 d=0.873716 t=63164
ni ne 	你呢	c=2 d=7.40668e-28 t=63164
ni shi 	你是	c=2 d=3.08326e-41 t=63164
ni shi bu shi 	你是不是	c=1 d=6.97157e-51 t=63164
ni shuo 	你說	c=2 d=8.50523e-08 t=63164
ni wo 	你我	c=1 d=1.11723e-10 t=63164
ni xu yao 	你需要	c=1 d=4.79001e-18 t=63164
ni ya 	尼亞	c=0 d=7.00912e-27 t=63164
ni yao 	你要	c=1 d=1 t=62787
ni yi si 	你意思	c=1 d=1 t=62041
ni zen me 	你怎麼	c=1 d=2.10853e-41 t=63164
nia 	孃	c=1 d=1 t=62733
nia hou 	孃後	c=2 d=1.00005 t=63042
nian 	唸	c=2 d=1.16941e-47 t=63164
nian 	年	c=81 d=0.878095 t=63164
nian 	攆	c=1 d=1 t=61741
nian du 	年度	c=1 d=3.83023e-05 t=63164
nian du 	粘度	c=3 d=0.000137817 t=63164
nian fei 	年費	c=2 d=8.55446e-62 t=63164
nian fu li 	年複利	c=1 d=2.9664e-57 t=63164
nian hua 	年化	c=7 d=4.32268e-57 t=63164
nian ji 	年紀	c=3 d=3.5725e-09 t=63164
nian li lv 	年利率	c=1 d=9.32364e-30 t=63164
nian ling 	年齡	c=2 d=2.35458e-16 t=63164
nian qi 	年期	c=1 d=1.56874e-62 t=63164
nian qing 	年輕	c=12 d=1.13745e-08 t=63164
nian qing ren 	年輕人	c=5 d=0.000735471 t=63164
nian shang qu 	黏上去	c=1 d=1 t=61740
nian shu 	唸書	c=1 d=4.04722e-65 t=63164
nian tou 	年頭	c=3 d=7.46562e-33 t=63164
nian xin 	年薪	c=2 d=1.18898e-07 t=63164
nian xing 	粘性	c=1 d=2.69261e-06 t=63164
nian yue 	年月	c=1 d=1 t=57654
nian zai 	黏在	c=1 d=5.91536e-30 t=63164
niang 	娘	c=2 d=9.45167e-14 t=63164
niang niang 	嬢嬢	c=1 d=6.57137e-32 t=63164
niao duo 	尿多	c=1 d=1.20277e-25 t=63164
nin 	您	c=10 d=0.0841499 t=63164
nin de 	您的	c=1 d=1 t=60456
nin hao 	您好	c=1 d=1.35635e-27 t=63164
ning xia 	寧夏	c=1 d=1 t=56047
niu 	妞	c=2 d=0.562705 t=63164
niu 	牛	c=5 d=1.53642e-23 t=63164
niu bi 	牛逼	c=4 d=0.0590129 t=63164
niu bu niu 	牛不牛	c=1 d=5.76342e-18 t=63164
niu jin 	牛津	c=2 d=1.33204e-41 t=63164
niu niu 	牛牛	c=1 d=7.42435e-56 t=63164
niu pi 	牛皮	c=1 d=1.18382e-44 t=63164
niu ren 	牛人	c=1 d=0.0010701 t=63164
niu rou 	牛肉	c=2 d=0.000121767 t=63164
niu rou zha jiang 	牛肉炸醬	c=1 d=9.80532e-05 t=63164
niu shi 	牛市	c=3 d=1.64185e-27 t=63164
niu yue 	紐約	c=2 d=2.78899e-08 t=63164
nong 	弄	c=12 d=0.133989 t=63164
nong chu lai 	弄出來	c=1 d=1 t=61817
nong cun 	農村	c=2 d=1.73197e-38 t=63164
nong fu 	農夫	c=2 d=1.80252 t=56397
nong hou 	濃厚	c=4 d=2.71967e-06 t=63164
nong li 	農曆	c=4 d=0.404542 t=63164
nong min gong 	農民工	c=1 d=8.39716e-34 t=63164
nong qian 	弄錢	c=1 d=3.51931e-09 t=63164
nong si 	弄死	c=1 d=1.02703e-49 t=63164
nong ye 	農業	c=2 d=7.23671e-39 t=63164
nu li 	努力	c=8 d=5.91234e-24 t=63164
nu na 	奴娜	c=1 d=8.6691e-56 t=63164
nuo ji ya 	諾基亞	c=1 d=1.85502e-34 t=63164
nv 	女	c=27 d=0.268474 t=63164
nv chao ren 	女超人	c=1 d=5.5891e-39 t=63164
nv de 	女的	c=7 d=1.05361e-26 t=63164
nv er 	女兒	c=1 d=4.40268e-26 t=63164
nv fang 	女方	c=1 d=3.85599e-25 t=63164
nv hai 	女孩	c=0 d=0.1 t=57693
nv peng you 	女朋友	c=1 d=1 t=60988
nv ren 	女人	c=25 d=0.748264 t=63164
nv ren jia 	女人家	c=1 d=1.00498e-29 t=63164
nv ren zhe 	女忍者	c=2 d=0.168909 t=63164
nv shen 	女神	c=8 d=1.27606e-15 t=63164
nv sheng 	女生	c=6 d=0.000395642 t=63164
nv sheng 	女聲	c=2 d=2.06283e-40 t=63164
nv tong shi 	女同事	c=5 d=1.84294e-16 t=63164
nv tuan 	女團	c=2 d=3.05945e-38 t=63164
nv wang 	女王	c=1 d=1.7299e-36 t=63164
nv xing 	女性	c=5 d=2.07078e-05 t=63164
nv xing hua 	女性化	c=1 d=6.55999e-41 t=63164
nv you 	女友	c=5 d=1.64586e-09 t=63164
nv zhu jiao 	女主角	c=1 d=5.60357e-40 t=63164
nv zi 	女子	c=1 d=1.0388e-36 t=63164
o 	哦	c=113 d=1.11012 t=63164
o o 	哦哦	c=4 d=4.70411e-11 t=63164
ou 	歐	c=1 d=2.56321e-65 t=63164
ou ba 	歐把	c=1 d=2.30396e-25 t=63164
ou er 	偶爾	c=3 d=2.13378e-34 t=63164
ou ke jia 	歐客家	c=1 d=4.6322e-65 t=63164
ou mei 	歐美	c=4 d=0.000742862 t=63164
ou ran 	偶然	c=1 d=6.68454e-27 t=63164
ou shuang 	歐雙	c=1 d=8.31219e-32 t=63164
ou xiang 	偶像	c=1 d=2.38602e-25 t=63164
ou yu 	偶遇	c=1 d=4.49314e-30 t=63164
ou yuan 	歐元	c=2 d=1.6095e-62 t=63164
ou zhai 	歐債	c=1 d=6.4002e-45 t=63164
ou zhou 	歐洲	c=2 d=1.52165e-27 t=63164
pa 	怕	c=8 d=7.59831e-05 t=63164
pa 	爬	c=2 d=1.11248 t=56065
pa chong 	爬蟲	c=26 d=0.00653069 t=63164
pa de 	怕得	c=1 d=1.46877e-52 t=63164
pa pa 	啪啪	c=1 d=9.8763e-31 t=63164
pa qu 	爬取	c=6 d=5.94301e-13 t=63164
pa shan 	爬山	c=1 d=1.70061e-41 t=63164
pai 	拍	c=4 d=1.55615e-26 t=63164
pai 	排	c=2 d=1.57698e-06 t=63164
pai 	派	c=0 d=5.56709e-23 t=63164
pai 	牌	c=1 d=1 t=61742
pai ban 	排版	c=1 d=8.88129e-17 t=63164
pai chu 	排除	c=2 d=1.57564e-53 t=63164
pai de 	拍得	c=1 d=3.77501e-40 t=63164
pai dui 	排隊	c=1 d=2.73228e-31 t=63164
pai fa 	派發	c=1 d=1.52243e-33 t=63164
pai hao 	排好	c=0 d=0.1 t=60180
pai hao xu 	排好序	c=1 d=1 t=60181
pai lie 	排列	c=8 d=0.000992781 t=63164
pai lie zu he 	排列組合	c=1 d=1 t=58629
pai mai 	拍賣	c=3 d=4.24152e-42 t=63164
pai ming 	排名	c=12 d=9.2136e-08 t=63164
pai ming ji zhi 	排名機制	c=1 d=2.11585e-23 t=63164
pai pai 	拍拍	c=0 d=2.41115e-61 t=63164
pai pai dai 	拍拍貸	c=4 d=2.79178e-49 t=63164
pai sang na 	派桑那	c=1 d=5.59499e-22 t=63164
pai wei 	排位	c=0 d=3.25039e-16 t=63164
pai wei fen 	排位分	c=1 d=3.26669e-15 t=63164
pai xu 	排序	c=14 d=3.48804e-06 t=63164
pai zhao 	拍照	c=4 d=0.00200924 t=63164
pai zhao 	牌照	c=1 d=5.3747e-20 t=63164
pai zi 	牌子	c=3 d=2.63236e-61 t=63164
pan 	盤	c=7 d=1.89777e-08 t=63164
pan dong 	潘東	c=2 d=1.24392e-10 t=63164
pan dong wa 	潘東娃	c=1 d=1.25015e-09 t=63164
pan duan 	判斷	c=9 d=6.54789e-05 t=63164
pan sheng 	攀升	c=1 d=1.07708e-50 t=63164
pang bian 	旁邊	c=1 d=1.00085e-10 t=63164
pang zi 	胖子	c=1 d=2.15896e-25 t=63164
pao 	拋	c=1 d=2.70372e-25 t=63164
pao 	泡	c=4 d=1.0872e-13 t=63164
pao 	炮	c=1 d=1.63872e-46 t=63164
pao 	跑	c=9 d=0.77553 t=63164
pao bian 	跑遍	c=1 d=2.64747e-13 t=63164
pao chu 	拋出	c=1 d=1.27671e-21 t=63164
pao chu lai 	跑出來	c=1 d=2.20903e-30 t=63164
pao dao 	跑到	c=1 d=1.98135e-15 t=63164
pao diao 	跑掉	c=1 d=7.64135e-42 t=63164
pao lu 	跑路	c=1 d=4.33639e-24 t=63164
pao mei zi 	泡妹子	c=2 d=3.05259e-41 t=63164
pao mian 	泡麪	c=1 d=2.43249e-46 t=63164
pao pao 	跑跑	c=1 d=5.2828e-23 t=63164
pao qi 	拋棄	c=1 d=1.43036e-05 t=63164
pao yi tang 	跑一趟	c=1 d=0.264477 t=63164
pao zhuan yin yu 	拋磚引玉	c=1 d=1.48303e-48 t=63164
pei 	呸	c=1 d=6.09778e-05 t=63164
pei 	賠	c=0 d=0.00620385 t=63164
pei 	配	c=4 d=1.57843e-08 t=63164
pei 	陪	c=2 d=1.09103e-39 t=63164
pei ban 	陪伴	c=1 d=3.31775e-21 t=63164
pei bu pei 	賠不賠	c=1 d=0.0623495 t=63164
pei chang 	賠償	c=12 d=0.00189346 t=63164
pei chang jin 	賠償金	c=1 d=5.33845e-58 t=63164
pei dian qian 	賠點錢	c=1 d=9.2403e-42 t=63164
pei fu 	佩服	c=1 d=5.40347e-24 t=63164
pei he 	配合	c=2 d=1.5818 t=57513
pei pei 	陪陪	c=1 d=9.28345e-38 t=63164
pei se 	配色	c=4 d=0.0583715 t=63164
pei shang 	賠上	c=1 d=3.45657e-62 t=63164
pei tong 	陪同	c=1 d=2.21746e-16 t=63164
pei tu 	配圖	c=1 d=5.89608e-21 t=63164
pei xun 	培訓	c=2 d=5.40715e-32 t=63164
pei xun ban 	培訓班	c=1 d=1 t=60092
pei xun fei 	培訓費	c=4 d=1.09753e-36 t=63164
pei xun ji gou 	培訓機構	c=1 d=5.0001e-23 t=63164
pei xun xue xiao 	培訓學校	c=1 d=1 t=59826
pei yang 	培養	c=1 d=3.22364e-06 t=63164
pei zhi 	配置	c=15 d=1.48765 t=63164
pen 	噴	c=2 d=1.7154e-44 t=63164
pen zi 	噴子	c=1 d=5.6286e-63 t=63164
peng 	碰	c=1 d=6.73658e-30 t=63164
peng 	鵬	c=2 d=1.19573e-65 t=63164
peng can 	彭璨	c=3 d=0.425283 t=63164
peng chang 	捧場	c=1 d=1.52404e-16 t=63164
peng dao 	碰到	c=1 d=1 t=62963
peng fen 	烹分	c=1 d=2.84186e-23 t=63164
peng hong 	捧紅	c=1 d=6.46253e-12 t=63164
peng jie 	鵬姐	c=1 d=6.72355e-66 t=63164
peng peng 	鵬鵬	c=3 d=2.61651e-51 t=63164
peng you 	朋友	c=21 d=0.468417 t=63164
peng you men 	朋友們	c=1 d=1.06274e-10 t=63164
peng you qi 	朋友妻	c=1 d=1.12826e-08 t=63164
peng you quan 	朋友圈	c=5 d=1.80004e-27 t=63164
pi 	屁	c=1 d=0.382893 t=63164
pi fu 	皮膚	c=8 d=0.843456 t=63164
pi gu 	屁股	c=0 d=1.60158e-42 t=63164
pi ka 	皮卡	c=1 d=1.00947e-52 t=63164
pi lou 	紕漏	c=1 d=7.68488e-50 t=63164
pi lu 	披露	c=2 d=3.44924e-57 t=63164
pi mao 	皮毛	c=1 d=2.00024e-09 t=63164
pi pei 	匹配	c=8 d=3.50802e-10 t=63164
pi qi 	脾氣	c=2 d=5.07201e-36 t=63164
pi shang 	披上	c=0 d=5.87666e-42 t=63164
pi shang yi fu 	披上衣服	c=1 d=5.90612e-41 t=63164
pian 	偏	c=10 d=1.45484e-14 t=63164
pian 	片	c=1 d=1.68412e-12 t=63164
pian 	篇	c=5 d=0.0127454 t=63164
pian 	騙	c=1 d=1 t=61731
pian duan 	片段	c=2 d=7.14137e-17 t=63164
pian fu 	篇幅	c=1 d=1.06036e-13 t=63164
pian qian 	騙錢	c=2 d=0.278037 t=63164
pian ren 	騙人	c=1 d=2.22161e-38 t=63164
pian yi 	便宜	c=10 d=0.00810671 t=63164
pian yi huo 	便宜貨	c=1 d=3.1554e-19 t=63164
pian yi tian hong 	便宜天弘	c=1 d=1 t=62473
pian yuan 	偏遠	c=1 d=2.3497e-21 t=63164
piao 	嫖	c=1 d=4.04391e-26 t=63164
piao 	瞟	c=2 d=0.00302755 t=63164
piao 	票	c=4 d=1.36296e-14 t=63164
piao 	飄	c=1 d=7.35596e-06 t=63164
piao liang 	漂亮	c=8 d=0.438254 t=63164
pie 	撇	c=1 d=2.54938e-10 t=63164
pie tuo 	撇脫	c=1 d=3.57604e-50 t=63164
pin 	品	c=3 d=1.93078e-05 t=63164
pin 	拼	c=1 d=5.74574e-12 t=63164
pin bo 	拼搏	c=2 d=1.3821e-13 t=63164
pin chang 	品嚐	c=1 d=1.8024e-19 t=63164
pin fan 	頻繁	c=4 d=3.99198e-21 t=63164
pin jie 	拼接	c=1 d=1 t=62686
pin jin 	拼勁	c=1 d=3.25205e-21 t=63164
pin ming 	拼命	c=1 d=0.0153752 t=63164
pin pai 	品牌	c=1 d=4.1249e-24 t=63164
pin qing 	聘請	c=1 d=2.65939e-07 t=63164
pin si 	拼死	c=1 d=4.16268e-43 t=63164
pin xie 	拼寫	c=2 d=3.36776e-42 t=63164
pin yin 	拼音	c=9 d=0.0475471 t=63164
pin yin chuan 	拼音串	c=5 d=1.24245 t=63164
pin zhi 	品質	c=1 d=0.00597602 t=63164
ping 	平	c=2 d=4.47392e-09 t=63164
ping 	憑	c=1 d=2.21663e-41 t=63164
ping 	萍	c=1 d=3.40695e-39 t=63164
ping an 	平安	c=1 d=1.07803e-31 t=63164
ping an yin hang 	平安銀行	c=2 d=7.60118e-60 t=63164
ping ban 	平板	c=1 d=1.65547e-48 t=63164
ping bi 	屏蔽	c=1 d=8.62761e-29 t=63164
ping fang 	平方	c=1 d=8.03065e-09 t=63164
ping fen 	評分	c=21 d=0.0104555 t=63164
ping guo 	蘋果	c=16 d=0.010331 t=63164
ping guo yuan 	蘋果園	c=1 d=0.215456 t=63164
ping huan 	平緩	c=1 d=1.03485e-50 t=63164
ping ji 	評級	c=2 d=2.22668e-06 t=63164
ping jia 	評價	c=16 d=0.0126857 t=63164
ping jie 	憑藉	c=1 d=2.13784e-27 t=63164
ping jie 	萍姐	c=1 d=5.57675e-13 t=63164
ping jun 	平均	c=9 d=3.55408e-07 t=63164
ping jun fen 	平均分	c=2 d=6.87279e-15 t=63164
ping jun shou ru 	平均收入	c=1 d=2.43249e-46 t=63164
ping jun shu 	平均數	c=1 d=2.50657e-46 t=63164
ping lun 	評論	c=50 d=0.0303226 t=63164
ping lun zhe 	評論者	c=1 d=1.48615e-14 t=63164
ping mi 	平米	c=1 d=3.75874e-48 t=63164
ping mu 	屏幕	c=5 d=0.000269246 t=63164
ping pang 	乒乓	c=1 d=6.07854e-56 t=63164
ping shen me 	憑什麼	c=1 d=1.69738e-48 t=63164
ping shi 	平時	c=6 d=9.81367e-15 t=63164
ping tai 	平臺	c=37 d=0.00235789 t=63164
ping tai de 	平臺的	c=1 d=2.23898e-12 t=63164
ping tan 	平攤	c=1 d=1.58343e-54 t=63164
ping yuan 	平原	c=2 d=1.80252 t=56390
po 	破	c=1 d=1.82584e-24 t=63164
po 	頗	c=1 d=0.0297478 t=63164
po bai 	破敗	c=1 d=1.53956e-47 t=63164
po chan 	破產	c=1 d=3.5449e-06 t=63164
po che 	破車	c=1 d=1.09355e-52 t=63164
po huai 	破壞	c=1 d=9.31541e-49 t=63164
po jie 	破解	c=3 d=1.99144e-14 t=63164
po jie mei 	破解沒	c=1 d=1 t=57316
po niang 	婆娘	c=1 d=8.45677e-29 t=63164
po shou ji 	破手機	c=1 d=1.8274e-34 t=63164
po xi 	婆媳	c=1 d=1.43085e-09 t=63164
pu 	蒲	c=1 d=1 t=59997
pu 	鋪	c=0 d=1.47212e-21 t=63164
pu bian 	普遍	c=4 d=1.10903e-11 t=63164
pu jie 	仆街	c=1 d=0.00621991 t=63164
pu luo 	普羅	c=0 d=1.97006e-37 t=63164
